79.5,8.0,maison,8.0
141.0,104.5,maison,8.0
142.5,76.0,maison,6.5
132.5,19.5,bungalow,3.5
32.5,104.5,bungalow,5.1478150704935
6.5,40.0,bungalow,6.5
23.0,44.0,bungalow,6.5
47.0,114.5,bungalow,5.1478150704935
127.0,52.0,eengezinswoning,3.0
116.0,53.0,eengezinswoning,3.0
5.0,96.5,eengezinswoning,5.0
148.5,121.5,eengezinswoning,3.5
126.0,30.5,eengezinswoning,3.0413812651491097
109.5,5.5,eengezinswoning,2.0
92.0,59.5,eengezinswoning,3.0
85.0,48.5,eengezinswoning,3.0
117.0,15.5,eengezinswoning,2.0
52.0,133.5,eengezinswoning,8.5
6.5,81.0,eengezinswoning,6.5
137.0,39.0,eengezinswoning,3.0413812651491097
69.5,79.0,134.19297811850345,142.26807203870743
47.5,64.5,62.30078045548753,87.13394156865529
20.5,55.5,31.639227517886674,88.8954934848638
94.87839267128523
